timestamp,price,market_cap,volume,hour_key
2025-02-08 08:03:49.795000,95952.52432602612,1.902203504065374E12,5.423077797119762E10,2025020808
2025-02-08 09:04:00.625000,96223.7407871112,1.9085544598812783E12,4.887796171368644E10,2025020809
2025-02-08 10:03:47.457000,95905.61306579997,1.9019570381045386E12,4.983573521181784E10,2025020810
2025-02-08 11:02:34.123000,96095.3786132481,1.903857164426553E12,3.377901228134095E10,2025020811
2025-02-08 12:03:43.068000,96039.32910256689,1.9037600641795105E12,5.0214106922782135E10,2025020812
2025-02-08 13:04:08.355000,96003.7579365969,1.902611374172639E12,4.851961281770902E10,2025020813
2025-02-08 14:08:45.465000,96087.21179559056,1.9046051860765173E12,4.756929107740405E10,2025020814
2025-02-08 15:03:52.395000,96218.75936833651,1.908475267913714E12,4.566549392915969E10,2025020815
2025-02-08 16:03:56.703000,96072.01389415626,1.9043862149453662E12,3.928387948327032E10,2025020816
2025-02-08 17:03:51.360000,95836.79513855922,1.89842793586806E12,3.491877952204886E10,2025020817
2025-02-08 18:04:08.165000,96168.08067753738,1.9061879551652336E12,3.1875390298452736E10,2025020818
2025-02-08 19:03:56.480000,96355.02099871126,1.909239776753684E12,2.8794818586082424E10,2025020819
2025-02-08 20:04:24.996000,96518.94915955854,1.9131565436975225E12,3.0442540403465054E10,2025020820
2025-02-08 21:04:01.049000,96645.85029878837,1.9145635367528406E12,2.6942398096454567E10,2025020821
2025-02-08 22:04:11.842000,96484.13257174032,1.9127113210814639E12,2.5714366487092205E10,2025020822
2025-02-08 23:03:47.816000,96501.1504913647,1.9125769258410989E12,2.3107198698432243E10,2025020823
2025-02-09 00:03:50.607000,96487.0543625433,1.9125187047144302E12,1.7309338168577934E10,2025020900
2025-02-09 01:04:17.343000,96454.44602149501,1.9127427178716714E12,2.0932503231866684E10,2025020901
2025-02-09 02:03:49.419000,96569.42155748123,1.91414467800404E12,2.098166105998133E10,2025020902
2025-02-09 03:03:48.177000,97011.60027792904,1.919341614158239E12,2.2300055938266335E10,2025020903
2025-02-09 04:03:53.688000,96779.30602990102,1.918552782939359E12,2.2065219206383408E10,2025020904
2025-02-09 05:08:40.312000,97259.00138784561,1.9289914790281665E12,2.0585553113938736E10,2025020905
2025-02-09 06:03:52.099000,97267.4076648532,1.9282917992359827E12,2.3244550689437756E10,2025020906
2025-02-09 07:03:57.204000,97046.2789388488,1.9234274936834175E12,1.9864425680990257E10,2025020907
2025-02-09 08:03:49.412000,97028.92076912236,1.923312604412956E12,2.1122295067019207E10,2025020908
2025-02-09 09:04:08.033000,97117.2428080168,1.9242370688084802E12,1.8280665751130898E10,2025020909
2025-02-09 10:03:52.948000,97108.03391440804,1.9252880876975227E12,2.2060758822330208E10,2025020910
2025-02-09 11:03:54.094000,96890.28323028823,1.9214097307160417E12,2.1946827190285763E10,2025020911
2025-02-09 12:03:57.408000,96808.57964192933,1.9185467783729604E12,1.8838000900018387E10,2025020912
2025-02-09 13:05:50.891000,96603.27364795694,1.9153303937567566E12,2.2748791215609726E10,2025020913
2025-02-09 14:03:52.621000,96550.38390104315,1.9137122253252095E12,2.2870617866118927E10,2025020914
2025-02-09 15:03:56.421000,95906.49171654721,1.900675686548407E12,1.9310317195125618E10,2025020915
2025-02-09 16:04:06.468000,96162.13377205859,1.9061069267956362E12,2.372864090673392E10,2025020916
2025-02-09 17:01:09.843000,96498.54652003417,1.913813618179823E12,2.357992370393695E10,2025020917
2025-02-09 18:04:12.396000,96458.06093493411,1.9126611155052324E12,2.3429213696988644E10,2025020918
2025-02-09 19:08:51.218000,96125.10211989976,1.9043786569170105E12,2.3331648361121193E10,2025020919
2025-02-09 20:08:46.829000,96218.25827497702,1.9069282035401707E12,2.303670842272594E10,2025020920
2025-02-09 21:03:51.775000,96096.82739593633,1.9038286321071768E12,2.135646227122973E10,2025020921
2025-02-09 22:03:53.818000,96325.2632461819,1.9082163723696587E12,2.32090598725124E10,2025020922
2025-02-09 23:03:52.847000,95340.48294665758,1.8869817195808208E12,2.5510285898292694E10,2025020923
2025-02-10 00:03:03.213000,95841.1801230943,1.8996817980742817E12,2.519132992197537E10,2025021000
2025-02-10 01:04:12.806000,96519.99549282841,1.913864166395361E12,2.5697652234320942E10,2025021001
2025-02-10 02:04:09.496000,96766.93559529584,1.9178416139741616E12,2.5354766674198795E10,2025021002
2025-02-10 03:03:44.925000,95524.22026320195,1.892656435995069E12,2.541757536288839E10,2025021003
2025-02-10 04:00:37.956000,95821.87762306974,1.8991497683573105E12,2.7609000168191387E10,2025021004
2025-02-10 05:03:41.360000,96805.44643078477,1.9182692538180906E12,2.581005459826094E10,2025021005
2025-02-10 06:04:20.006000,96961.36839920148,1.9213583280802776E12,3.27749989648579E10,2025021006
2025-02-10 07:02:42.650000,97071.92621073166,1.9289304179842683E12,3.463242822722591E10,2025021007
2025-02-10 08:04:15.757000,97151.54613521088,1.9247904037714248E12,3.1070602337694397E10,2025021008
2025-02-10 09:07:13.748000,97464.14633368152,1.931287479605011E12,3.542557368277953E10,2025021009
2025-02-10 10:03:47.056000,97701.28028726348,1.9375603859648298E12,3.742736500818969E10,2025021010
2025-02-10 11:01:24.403000,97510.84742833716,1.9322258806532375E12,3.7704157728473434E10,2025021011
2025-02-10 12:04:29.824000,97730.66462298081,1.937412708361842E12,3.858308943212534E10,2025021012
2025-02-10 13:04:12.943000,97731.48183582605,1.9393410212921616E12,3.892130293518796E10,2025021013
2025-02-10 14:04:00.182000,97403.90940767614,1.9296572158599976E12,3.627059002748066E10,2025021014
